ocean,cd1,cd2,cd3,cd4,wd1,wd2,wd3,wd4,cd1_r,cd2_r,cd3_r,cd4_r,wd1_r,wd2_r,wd3_r,wd4_r
atlantic,26154.490747126434,35903.64540229884,6073.764425287355,0.07873563218390804,7.713275862068963,131.2436781609195,463.91632183908047,10.070689655172416,26154.490747126434,35903.64540229884,6073.764425287355,0.07873563218390804,7.713275862068963,131.2436781609195,463.91632183908047,10.070689655172416
indian,742.6728899082567,3771.7923394495424,912.8457798165135,5.325275229357799,0.08412844036697248,5.820229357798166,124.04224770642202,823.399724770642,742.6728899082567,3771.7923394495424,912.8457798165135,5.325275229357799,0.08412844036697248,5.820229357798166,124.04224770642202,823.399724770642
mediterranean,11046.60794642857,6284.749330357145,3220.4716964285726,4.252232142857144,0.0,0.0,0.0,142.07464285714266,11046.60794642857,6284.749330357145,3220.4716964285726,4.252232142857144,0.0,0.0,0.0,142.07464285714266
pacific,8826.241586538461,15660.145096153845,1655.849134615384,8.009711538461541,1.3787499999999997,48.651298076923084,282.9236538461539,2286.1178846153844,8826.241586538461,15660.145096153845,1655.849134615384,8.009711538461541,1.3787499999999997,48.651298076923084,282.9236538461539,2286.1178846153844
