year,month,lat,lng,probability
0,4,6,141,0.00534
0,4,6,142,0.00510
0,4,6,143,0.00056
0,4,6,149,0.00036
0,4,6,150,0.00050
0,4,6,151,0.00093
0,4,6,160,0.00045
0,4,7,123,0.00372
0,4,7,126,0.00448
0,4,7,127,0.00655
0,4,7,128,0.00710
0,4,7,129,0.00031
0,4,7,130,0.00036
0,4,7,133,0.00027
0,4,7,136,0.00709
0,4,7,137,0.00290
0,4,7,138,0.00034
0,4,7,139,0.06513
0,4,7,140,0.04090
0,4,7,141,0.01686
0,4,7,142,0.00733
0,4,7,143,0.00054
0,4,7,144,0.00041
0,4,7,149,0.00081
0,4,7,150,0.00102
0,4,7,154,0.00057
0,4,7,156,0.00026
0,4,8,126,0.00191
0,4,8,127,0.00879
0,4,8,134,0.00136
0,4,8,135,0.00536
0,4,8,136,0.01376
0,4,8,137,0.03672
0,4,8,138,0.00952
0,4,8,139,0.02292
0,4,8,140,0.02702
0,4,8,141,0.00074
0,4,8,142,0.00194
0,4,8,143,0.00104
0,4,8,144,0.00044
0,4,8,145,0.00100
0,4,8,146,0.00193
0,4,8,147,0.00028
0,4,8,149,0.00044
0,4,8,150,0.00052
0,4,8,151,0.00337
0,4,8,154,0.00045
0,4,8,155,0.00092
0,4,8,156,0.00048
0,4,9,126,0.00025
0,4,9,127,0.01083
0,4,9,128,0.01009
0,4,9,129,0.00026
0,4,9,130,0.00048
0,4,9,131,0.00051
0,4,9,132,0.00047
0,4,9,133,0.00030
0,4,9,134,0.00028
0,4,9,136,0.00050
0,4,9,141,0.00029
0,4,9,142,0.00211
0,4,9,143,0.00178
0,4,9,144,0.00105
0,4,9,145,0.00042
0,4,9,149,0.00118
0,4,9,150,0.00030
0,4,9,151,0.00082
0,4,9,154,0.00029
0,4,9,162,0.00026
0,4,10,126,0.00040
0,4,10,127,0.00164
0,4,10,128,0.00774
0,4,10,129,0.00953
0,4,10,130,0.00040
0,4,10,136,0.00035
0,4,10,137,0.00027
0,4,10,138,0.00086
0,4,10,139,0.00034
0,4,10,140,0.00050
0,4,10,141,0.00122
0,4,10,142,0.00055
0,4,10,143,0.00041
0,4,10,144,0.00128
0,4,10,146,0.00034
0,4,10,147,0.00141
0,4,10,148,0.00117
0,4,10,149,0.00033
0,4,10,150,0.00051
0,4,10,152,0.00028
0,4,10,154,0.00041
0,4,10,155,0.00029
0,4,10,156,0.00034
0,4,10,157,0.00031
0,4,11,126,0.00044
0,4,11,127,0.00165
0,4,11,128,0.00063
0,4,11,129,0.00074
0,4,11,130,0.03374
0,4,11,133,0.00061
0,4,11,134,0.04431
0,4,11,136,0.00078
0,4,11,137,0.00049
0,4,11,138,0.00133
0,4,11,139,0.00048
0,4,11,140,0.00125
0,4,11,141,0.00051
0,4,11,142,0.00037
0,4,11,143,0.00175
0,4,11,144,0.00092
0,4,11,145,0.00115
0,4,11,146,0.00062
0,4,11,147,0.00106
0,4,11,148,0.00071
0,4,11,150,0.00038
0,4,11,151,0.00093
0,4,11,152,0.00058
