year,month,lat,lng,probability
0,4,3,76,0.00272
0,4,3,77,0.00172
0,4,3,78,0.00153
0,4,3,79,0.00136
0,4,3,80,0.00091
0,4,3,81,0.00071
0,4,3,82,0.00060
0,4,3,83,0.00075
0,4,3,84,0.00067
0,4,3,85,0.00061
0,4,3,86,0.00100
0,4,3,87,0.00133
0,4,3,88,0.00127
0,4,3,89,0.00305
0,4,3,90,0.00116
0,4,3,91,0.00131
0,4,4,52,0.00041
0,4,4,53,0.00035
0,4,4,54,0.02532
0,4,4,55,0.05403
0,4,4,56,0.00094
0,4,4,57,0.00063
0,4,4,58,0.00915
0,4,4,59,0.02626
0,4,4,60,0.02336
0,4,4,61,0.00038
0,4,4,62,0.00042
0,4,4,63,0.00130
0,4,4,64,0.00048
0,4,4,65,0.00467
0,4,4,66,0.00897
0,4,4,67,0.00071
0,4,4,68,0.00327
0,4,4,69,0.01268
0,4,4,70,0.00250
0,4,4,71,0.00056
0,4,4,72,0.00096
0,4,4,73,0.00208
0,4,4,74,0.00268
0,4,4,75,0.00203
0,4,4,76,0.00190
0,4,4,77,0.00215
0,4,4,78,0.00116
0,4,4,79,0.00122
0,4,4,80,0.00151
0,4,4,81,0.00186
0,4,4,82,0.00063
0,4,4,83,0.00076
0,4,4,84,0.00026
0,4,4,86,0.00034
0,4,4,87,0.00052
0,4,4,89,0.00083
0,4,4,90,0.00033
0,4,4,91,0.00090
0,4,5,56,0.00083
0,4,5,57,0.00121
0,4,5,60,0.00036
0,4,5,61,0.00075
0,4,5,62,0.00066
0,4,5,63,0.00070
0,4,5,64,0.00086
0,4,5,65,0.00087
0,4,5,66,0.00144
0,4,5,67,0.00068
0,4,5,68,0.00204
0,4,5,69,0.00394
0,4,5,70,0.00120
0,4,5,71,0.00155
0,4,5,72,0.00156
0,4,5,73,0.00233
0,4,5,74,0.00391
0,4,5,75,0.00449
0,4,5,76,0.00179
0,4,5,77,0.00081
0,4,5,78,0.00060
0,4,5,79,0.00048
0,4,5,80,0.00093
0,4,5,81,0.00054
0,4,5,82,0.00120
0,4,6,55,0.01297
0,4,6,56,0.00050
0,4,6,57,0.00099
0,4,6,61,0.00201
0,4,6,62,0.00120
0,4,6,63,0.00121
0,4,6,64,0.00062
0,4,6,65,0.00107
0,4,6,66,0.00112
0,4,6,67,0.00107
0,4,6,68,0.00093
0,4,6,69,0.00312
0,4,6,70,0.00136
0,4,6,71,0.00516
0,4,6,72,0.00846
0,4,6,73,0.00366
0,4,6,74,0.00373
0,4,6,75,0.00410
0,4,6,76,0.00223
0,4,6,77,0.00127
0,4,6,78,0.00153
0,4,6,79,0.00061
0,4,7,55,0.00063
0,4,7,56,0.00037
0,4,7,60,0.00027
0,4,7,61,0.00516
0,4,7,62,0.00179
0,4,7,64,0.00038
0,4,7,65,0.00083
0,4,7,66,0.00113
0,4,7,67,0.00109
0,4,7,68,0.00170
0,4,7,69,0.00185
0,4,7,70,0.00162
0,4,7,71,0.00217
0,4,7,72,0.00359
0,4,7,73,0.00288
0,4,7,74,0.00646
0,4,7,75,0.00345
0,4,7,76,0.00158
0,4,8,55,0.00079
0,4,8,62,0.00359
0,4,8,63,0.00185
0,4,8,65,0.00050
0,4,8,66,0.00045
0,4,8,67,0.00181
0,4,8,68,0.00433
0,4,8,69,0.00227
0,4,8,70,0.00253
0,4,8,71,0.00464
0,4,8,72,0.00206
0,4,8,73,0.00566
0,4,8,74,0.00416
0,4,8,75,0.00161
0,4,8,76,0.00037
0,4,9,63,0.00260
0,4,9,64,0.00232
0,4,9,65,0.00445
0,4,9,67,0.00057
0,4,9,68,0.00322
0,4,9,69,0.00972
0,4,9,70,0.00132
0,4,9,71,0.00186
0,4,9,72,0.00191
0,4,9,73,0.00523
0,4,9,74,0.00472
0,4,9,75,0.00176
0,4,10,65,0.00134
0,4,10,66,0.00581
0,4,10,67,0.00097
0,4,10,68,0.00223
0,4,10,69,0.00233
0,4,10,70,0.00172
0,4,10,71,0.00252
0,4,10,72,0.00310
0,4,10,73,0.00319
0,4,10,74,0.00254
0,4,10,75,0.00097
0,4,11,64,0.00097
0,4,11,65,0.00187
0,4,11,66,0.00145
0,4,11,67,0.00105
0,4,11,68,0.00155
0,4,11,69,0.00311
0,4,11,70,0.00371
0,4,11,71,0.00301
0,4,11,72,0.00470
0,4,11,73,0.00277
0,4,11,74,0.00245
0,4,12,64,0.00060
0,4,12,65,0.00137
0,4,12,66,0.00214
0,4,12,67,0.00108
0,4,12,68,0.00323
0,4,12,69,0.00301
0,4,12,70,0.00572
0,4,12,71,0.00495
0,4,12,72,0.00454
0,4,12,73,0.00108
0,4,12,74,0.00102
0,4,13,63,0.00243
0,4,13,64,0.00026
0,4,13,65,0.00066
0,4,13,66,0.00114
0,4,13,67,0.00226
0,4,13,68,0.00769
0,4,13,69,0.00341
0,4,13,70,0.00164
0,4,13,71,0.00156
0,4,13,72,0.00106
0,4,13,73,0.00042
0,4,14,63,0.00060
0,4,14,64,0.00095
0,4,14,66,0.00095
0,4,14,67,0.00048
0,4,14,68,0.00112
0,4,14,69,0.00097
0,4,14,70,0.00130
0,4,14,71,0.00056
0,4,15,64,0.00042
0,4,15,68,0.00054
0,4,16,64,0.00027
0,4,16,69,0.00029
0,4,17,68,0.00104
0,4,18,69,0.00194
0,6,-9,98,0.00035
0,6,-7,63,0.00087
0,6,-7,90,0.00027
0,6,-7,92,0.00026
0,6,-6,55,0.00066
0,6,-6,62,0.00105
0,6,-6,71,0.00414
0,6,-6,72,0.00685
0,6,-6,91,0.00506
0,6,-5,56,0.00219
0,6,-5,62,0.00043
0,6,-5,70,0.00029
0,6,-5,71,0.00175
0,6,-5,72,0.02461
0,6,-5,87,0.00034
0,6,-5,96,0.00033
0,6,-4,56,0.00206
0,6,-4,72,0.00281
0,6,-4,73,0.00358
0,6,-4,79,0.00028
0,6,-4,94,0.00027
0,6,-4,95,0.00025
0,6,-3,66,0.00141
0,6,-3,75,0.00026
0,6,-3,81,0.00060
0,6,-3,84,0.00027
0,6,-3,85,0.00041
0,6,-3,86,0.00027
0,6,-3,88,0.00039
0,6,-3,89,0.00220
0,6,-3,90,0.00045
0,6,-2,58,0.00225
0,6,-2,59,0.00066
0,6,-2,61,0.00025
0,6,-2,62,0.00040
0,6,-2,64,0.00096
0,6,-2,65,0.00148
0,6,-2,66,0.00044
0,6,-2,67,0.00079
0,6,-2,68,0.00185
0,6,-2,69,0.00056
0,6,-2,70,0.00027
0,6,-2,82,0.00048
0,6,-2,84,0.00048
0,6,-2,85,0.00095
0,6,-2,87,0.00044
0,6,-2,88,0.00277
0,6,-2,89,0.00091
0,6,-2,91,0.00090
0,6,-2,93,0.00039
0,6,-1,48,0.00030
0,6,-1,58,0.00034
0,6,-1,59,0.00230
0,6,-1,60,0.00868
0,6,-1,61,0.00028
0,6,-1,67,0.00197
0,6,-1,68,0.02079
0,6,-1,69,0.00032
0,6,-1,70,0.00035
0,6,-1,71,0.00028
0,6,-1,72,0.00078
0,6,-1,73,0.00045
0,6,-1,74,0.02614
0,6,-1,75,0.00164
0,6,-1,76,0.00069
0,6,-1,77,0.00034
0,6,-1,78,0.00086
0,6,-1,79,0.00134
0,6,-1,80,0.00109
0,6,-1,81,0.00050
0,6,-1,82,0.00032
0,6,-1,83,0.00125
0,6,-1,84,0.00033
0,6,-1,87,0.00056
0,6,-1,88,0.00038
0,6,-1,89,0.00117
0,6,-1,90,0.00053
0,6,-1,93,0.00077
0,6,-1,94,0.00025
0,6,-1,95,0.00043
0,6,0,44,0.00033
0,6,0,58,0.00506
0,6,0,59,0.00478
0,6,0,60,0.01112
0,6,0,62,0.00097
0,6,0,63,0.00121
0,6,0,64,0.00165
0,6,0,65,0.00324
0,6,0,66,0.00867
0,6,0,67,0.01177
0,6,0,68,0.00803
0,6,0,69,0.00047
0,6,0,70,0.00058
0,6,0,71,0.00272
0,6,0,72,0.00241
0,6,0,73,0.00287
0,6,0,74,0.00884
0,6,0,75,0.00079
0,6,0,76,0.00207
0,6,0,77,0.00109
0,6,0,78,0.00102
0,6,0,79,0.00164
0,6,0,80,0.00139
0,6,0,81,0.00083
0,6,0,82,0.00072
0,6,0,83,0.00174
0,6,0,84,0.00229
0,6,0,85,0.00095
0,6,0,86,0.00093
0,6,0,87,0.00172
0,6,0,88,0.00071
0,6,0,89,0.00057
0,6,0,90,0.00173
0,6,0,91,0.00158
0,6,0,92,0.00113
0,6,0,93,0.00030
0,6,0,94,0.00040
0,6,1,51,0.00030
0,6,1,52,0.00074
0,6,1,58,0.00158
0,6,1,60,0.00553
0,6,1,61,0.00081
0,6,1,62,0.00516
0,6,1,63,0.00181
0,6,1,64,0.00486
0,6,1,65,0.00725
0,6,1,66,0.00227
0,6,1,67,0.00109
0,6,1,68,0.00976
0,6,1,69,0.00112
0,6,1,70,0.00084
0,6,1,71,0.00546
0,6,1,72,0.00267
0,6,1,73,0.00342
0,6,1,74,0.00354
0,6,1,75,0.00420
0,6,1,76,0.00286
0,6,1,77,0.00858
0,6,1,78,0.00137
0,6,1,79,0.00240
0,6,1,80,0.00301
0,6,1,81,0.00664
0,6,1,82,0.00362
0,6,1,83,0.00350
0,6,1,84,0.00385
0,6,1,85,0.00182
0,6,1,86,0.00211
0,6,1,87,0.00239
0,6,1,88,0.00147
0,6,1,89,0.00047
0,6,1,90,0.00067
0,6,1,91,0.00052
0,6,1,92,0.00029
0,6,1,93,0.00061
0,6,1,94,0.00031
0,6,1,95,0.00040
0,6,1,96,0.00052
