22/09/2013;-36,7066;-8,4641;;;0;0;;;0;0;3;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
23/09/2013;-36,6444;-7,7523;;;0;0;;;0;0;2;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
24/09/2013;-36,5823;-7,0399;;;1,9;1;;;56,4;89,7;2;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
25/09/2013;-36,5235;-6,3653;;;2,1;0;;;38,4;0;2;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
26/09/2013;-36,4513;-5,5388;;;0;0;;;0;0;2;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
27/09/2013;-36,1431;-2,0179;;;2,3;0;;;41,7;0;3;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
28/09/2013;-36,0876;-1,3876;;;0,9;1,5;;;21,2;170,4;3,5;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
29/09/2013;-36,0315;-0,7483;;;1,8;0,4;;;18,1;191,7;4;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
30/09/2013;-35,9556;-0,0578;;;3,9;1,5;;;67,1;117;4;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
01/10/2013;-35,8796;0,6236;;;1,6;0,6;;;21,8;8,9;3;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
02/10/2013;-35,2849;5,9134;;;5,1;0;;;58,1;0;2,5;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
03/10/2013;-35,1912;6,7437;;;3,2;1,8;;;23,3;73,9;2,5;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
04/10/2013;-35,1145;7,4225;;;4,9;2,7;;;82,3;225,7;2,5;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
05/10/2013;-35,0363;8,1136;;;4,6;2;;;121,8;355,2;2,5;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
06/10/2013;-34,9573;8,7961;;;6;4,4;;;87,3;214,8;2,5;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
07/10/2013;-34,4273;13,4742;;;0;1,3;;;0;182,6;2;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
08/10/2013;-34,3805;14,0599;;;2,6;0;;;17,5;0;2;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
09/10/2013;-34,3837;14,4911;;;0;0,8;;;0;28,2;2,5;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
10/10/2013;-34,3871;14,9601;;;0,7;4;;;22,4;1 381,60;3;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
11/10/2013;-34,3907;15,4412;;;2,6;2,2;;;56,2;193,2;3;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
12/10/2013;-33,8993;18,2893;;;21,2;3,2;;;134,2;90,2;2;Peter Ryan;Tristan to Cape Town;;50 m transect, compensating for missed items
