Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
08/05/2012;15,2175;159,9003;0;2 772,96;554,59;;0;17,19;16,64;;2;M. Eriksen;NPG12-SM002;;
08/05/2012;15,7937;159,2056;0;359,73;1 438,91;;0;0;0,36;;3;M. Eriksen;NPG12-SM003;;
08/05/2012;16,4507;158,5566;0;387,59;0;;0;3,29;0;;4;M. Eriksen;NPG12-SM004;;
09/05/2012;17,4912;157,5383;647,66;2 914,45;323,83;;0,1;13,28;5,51;;3;M. Eriksen;NPG12-SM005;;
09/05/2012;17,9596;157,078;724,62;4 710,01;362,31;;0,22;25;163,04;;3;M. Eriksen;NPG12-SM006;;
10/05/2012;19,4321;156,1433;573,26;3 439,56;573,26;;0,06;17,57;31,5;;3;M. Eriksen;NPG12-SM008;;
11/05/2012;19,6586;155,1127;2 829,79;3 773,05;0;;1,23;4,4;0;;2;M. Eriksen;NPG12-SM009;;
11/05/2012;20,5115;155,1814;5 557,49;8 027,49;617,5;;1,02;30,81;1,23;;3;M. Eriksen;NPG12-SM010;;
12/05/2012;21,5837;155,3391;555,18;1 387,96;0;;0,14;7,77;0;;2;M. Eriksen;NPG12-SM011;;
12/05/2012;22,4588;155,2998;12 957,51;14 701,79;1 245,91;;1,92;30,77;17,94;;2;M. Eriksen;NPG12-SM012;;
13/05/2012;23,4111;155,2311;6 315,32;5 112,40;1 202,92;;1,2;9,89;126,01;;2;M. Eriksen;NPG12-SM013;;
13/05/2012;24,2949;155,0853;3 526,16;11 540,16;1 923,36;;0,71;63,05;113,54;;2;M. Eriksen;NPG12-SM014;;
14/05/2012;25,099;154,157;10 862,09;9 296,38;391,43;;2,03;21,16;28,41;;3;M. Eriksen;NPG12-SM015;;
14/05/2012;25,7062;153,2397;814,51;3 258,06;1 221,77;;0,29;49,69;328,66;;3;M. Eriksen;NPG12-SM016;;
15/05/2012;26,3517;152,2958;3 400,19;27 201,52;1 360,08;;0,66;131,63;41,89;;2;M. Eriksen;NPG12-SM017;;
15/05/2012;27,0833;151,3647;4 323,51;14 699,93;864,7;;1,27;44,33;151,61;;3;M. Eriksen;NPG12-SM018;;
16/05/2012;27,8482;150,2578;36 781,10;275 858,22;12 260,37;;7,66;1 187,42;936,69;;3;M. Eriksen;NPG12-SM019;;
16/05/2012;28,5588;149,3047;2 689,82;17 483,84;336,23;;0,98;61,7;0,37;;4;M. Eriksen;NPG12-SM020;;
17/05/2012;29,7272;148,0468;62 977,87;127 580,97;10 157,72;;13,16;155,17;30,07;;3;M. Eriksen;NPG12-SM021;;
