Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
06/09/2013;-34,4994;16,8796;;;0,8;1;;;6,5;25,7;3;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
07/09/2013;-34,4998;13,7682;;;0,7;0,9;;;8,5;40,6;3;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
08/09/2013;-34,4998;12,6294;;;2,4;0;;;12,1;0;2,5;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
09/09/2013;-34,4999;8,1273;;;1,3;0,6;;;48,2;52,4;3,5;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
10/09/2013;-34,4999;3,3942;;;6,9;4,1;;;48,5;297,1;3;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
11/09/2013;-34,4999;2,7445;;;0;1,4;;;0;24;3,5;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
12/09/2013;-34,646;-0,6988;;;2,9;0,6;;;44,2;192,2;3;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
13/09/2013;-34,798;-1,4227;;;1,7;1,1;;;56,8;255,6;3;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
14/09/2013;-34,946;-2,1313;;;1,2;1,6;;;35,8;270,4;3;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
15/09/2013;-35,0553;-2,6553;;;1,2;0,9;;;20;120,7;3;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
16/09/2013;-35,9387;-6,9181;;;0,7;0;;;14,1;0;2;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
17/09/2013;-36,1007;-7,7032;;;0,7;0;;;14,2;0;3;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
18/09/2013;-36,2609;-8,4854;;;2;1,5;;;28,5;473,6;3;Peter Ryan;Cape Town to Tristan;;50 m transect, compensating for missed items
