Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
28/03/2011;-33,1071;-82,387;0;0;0;;0;0;0;;3;M. Eriksen;SPG11-SM003;;
29/03/2011;-33,0195;-83,4213;0;0;0;;0;0;0;;2;M. Eriksen;SPG11-SM005;;
29/03/2011;-32,9105;-84,4851;0;605,65;0;;0;2,73;0;;2;M. Eriksen;SPG11-SM007;;
30/03/2011;-32,8038;-86,2393;0;817,62;1 226,43;;0;1,23;9,4;;2;M. Eriksen;SPG11-SM009;;
30/03/2011;-32,7309;-86,3835;1 486,58;0;371,65;;0,74;0;0,74;;1,5;M. Eriksen;SPG11-SM011;;
30/03/2011;-32,5685;-87,4243;1 168,03;0;0;;1,17;0;0;;1;M. Eriksen;SPG11-SM013;;
31/03/2011;-32,3817;-88,1103;355,49;6 398,77;4 976,82;;0,11;5,69;72,16;;1;M. Eriksen;SPG11-SM015;;
31/03/2011;-32,2052;-89,4267;791,25;791,25;395,62;;0,12;1,58;1,58;;1;M. Eriksen;SPG11-SM017;;
31/03/2011;-31,978;-90,4108;1 308,19;3 270,48;327,05;;0,34;7,85;0,65;;1;M. Eriksen;SPG11-SM019;;
01/04/2011;-31,8065;-91,3445;0;1 533,04;0;;0;1,02;0;;2;M. Eriksen;SPG11-SM021;;
01/04/2011;-31,5774;-92,3432;1 226,43;7 767,40;408,81;;0,41;19,21;11,04;;3;M. Eriksen;SPG11-SM023;;
02/04/2011;-31,3878;-93,3457;371,65;7 804,56;1 114,94;;1,49;17,1;6,69;;3;M. Eriksen;SPG11-SM025;;
02/04/2011;-31,1743;-94,3172;766,52;1 533,04;255,51;;0,31;8,69;4,6;;3;M. Eriksen;SPG11-SM027;;
02/04/2011;-30,9504;-95,3477;1 645,11;3 290,22;658,04;;0,33;5,59;4,28;;3;M. Eriksen;SPG11-SM029;;
03/04/2011;-30,5732;-96,2025;1 179,83;5 191,24;1 179,83;;0,03;31,9;14,63;;3;M. Eriksen;SPG11-SM031;;
03/04/2011;-30,2413;-97,0948;8 328,02;22 902,06;1 561,50;;2,6;53,59;13,79;;4;M. Eriksen;SPG11-SM033;;
03/04/2011;-29,8994;-97,9295;11 841,41;41 444,92;2 255,51;;3,55;82,61;11,56;;3;M. Eriksen;SPG11-SM035;;
06/04/2011;-29,5605;-98,8063;2 555,07;18 907,48;511,01;;2,04;94,82;8,18;;3;M. Eriksen;SPG11-SM037;;
04/04/2011;-29,3441;-99,7966;24 528,63;33 007,66;18 169,35;;4,6;42,88;33,92;;3;M. Eriksen;SPG11-SM039;;
05/04/2011;-29,1922;-100,739;7 665,20;56 211,43;3 577,09;;2,2;263,48;42,36;;2;M. Eriksen;SPG11-SM041;;
05/04/2011;-29,0453;-101,7302;244 566,94;109 695,46;42 079,90;;20,86;413,61;296,36;;2;M. Eriksen;SPG11-SM043;;
06/04/2011;-28,8929;-102,5777;50 828,03;53 451,42;8 198,07;;8,69;136,09;74,77;;1;M. Eriksen;SPG11-SM045;;
06/04/2011;-28,7311;-103,5486;8 176,21;24 098,30;2 151,63;;1,2;73,07;10,16;;2,5;M. Eriksen;SPG11-SM047;;
06/04/2011;-28,5805;-104,3963;23 413,69;55 375,23;4 831,40;;3,53;139,89;26,76;;3;M. Eriksen;SPG11-SM049;;
07/04/2011;-28,33;-105,331;8 176,21;32 402,01;3 028,23;;1,36;147,47;36,04;;3;M. Eriksen;SPG11-SM051;;
07/04/2011;-28,1885;-106,3073;2 146,25;11 957,70;1 839,65;;0,61;67,76;20,54;;5;M. Eriksen;SPG11-SM053;;
08/04/2011;-27,8781;-107,246;1 460,04;3 504,09;292,01;;0,32;33,29;4,96;;4;M. Eriksen;SPG11-SM055;;
08/04/2011;-27,5502;-108,0495;17 546,56;73 110,66;3 289,98;;2,08;323,66;49,28;;3;M. Eriksen;SPG11-SM058;;
09/04/2011;-27,2818;-108,9362;0;43 497,43;1 635,24;;0;186,12;19,95;;2;M. Eriksen;SPG11-SM060;;
15/04/2011;-27,022;-110,9803;634,91;13 333,07;634,91;;0,21;132,38;22,01;;3;M. Eriksen;SPG11-SM061;;
15/04/2011;-26,8718;-111,9128;845,81;9 585,90;1 691,63;;0,39;57,52;52,72;;3;M. Eriksen;SPG11-SM062;;
16/04/2011;-26,6982;-112,871;598,26;2 193,62;0;;0,18;18,15;0;;3;M. Eriksen;SPG11-SM064;;
16/04/2011;-26,6027;-113,8575;0;1 582,49;263,75;;0;2,32;2,37;;3;M. Eriksen;SPG11-SM066;;
16/04/2011;-26,5353;-114,8312;0;662,94;441,96;;0;1,77;0,66;;4;M. Eriksen;SPG11-SM068;;
17/04/2011;-26,3318;-115,7358;0;0;527,5;;0;0;8,44;;3;M. Eriksen;SPG11-SM070;;
