Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
17/04/2011;-26,238;-116,6753;1 409,69;4 511,01;281,94;;0,28;15,79;4,51;;4;M. Eriksen;SPG11-SM072;;
18/04/2011;-26,1643;-117,5795;0;3 633,87;302,82;;0;26,65;0,61;;2;M. Eriksen;SPG11-SM074;;
18/04/2011;-26,0652;-118,5125;0;598,99;0;;0;2,99;0;;2;M. Eriksen;SPG11-SM076;;
18/04/2011;-26,0422;-119,432;3 971,30;7 475,39;700,82;;0,3;2,8;1,64;;1;M. Eriksen;SPG11-SM078;;
19/04/2011;-25,9512;-120,4278;2 271,17;4 315,22;908,47;;1,14;14,54;2,73;;1;M. Eriksen;SPG11-SM079;;
19/04/2011;-25,8596;-121,3422;1 907,78;2 180,32;0;;0,19;0,82;0;;4;M. Eriksen;SPG11-SM080;;
19/04/2011;-25,5538;-122,2008;0;1 886,82;943,41;;0;0,75;0,63;;1;M. Eriksen;SPG11-SM082;;
20/04/2011;-25,2705;-123,2543;480,95;961,91;0;;0,19;1,68;0;;1;M. Eriksen;SPG11-SM083;;
20/04/2011;-24,9669;-123,9391;4 496,91;8 585,02;817,62;;0,78;2,66;0,61;;2;M. Eriksen;SPG11-SM085;;
20/04/2011;-24,6527;-124,7923;4 792,95;20 299,55;1 973,57;;0,54;7,33;5,07;;1;M. Eriksen;SPG11-SM087;;
21/04/2011;-24,5847;-125,7344;8 191,38;14 562,45;1 365,23;;0,82;11,83;1,14;;1;M. Eriksen;SPG11-SM088;;
21/04/2011;-24,4952;-126,6168;5 450,81;3 331,05;0;;0,45;3,03;0;;1;M. Eriksen;SPG11-SM089;48;
