Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
10/07/2010;43,7653;8,0349;20 187,79;11 485,45;5 885,45;;;;;;1;F.Galgani;MED10-2;;
11/07/2010;44,1738;8,9859;92 122,13;52 411,07;26 856,82;;;;;;1;F.Galgani;MED10-3;;
11/07/2010;44,2934;9,2035;409 477,27;232 964,00;119 376,91;;;;;;1;F.Galgani;MED10-4;;
12/07/2010;43,8789;9,3394;113 883,27;64 791,63;33 200,94;;;;;;1;F.Galgani;MED10-5;;
13/07/2010;43,2046;8,999;15 454,07;8 792,29;4 505,40;;;;;;1;F.Galgani;MED10-6;;
15/07/2010;42,8895;10,2292;70 234,88;39 958,75;20 475,92;;;;;;2;F.Galgani;MED10-7;;
15/07/2010;42,8428;10,2831;479 454,64;272 776,24;139 777,75;;;;;;3;F.Galgani;MED10-9;;
16/07/2010;42,9838;9,3248;34 209,26;19 462,68;9 973,19;;;;;;2;F.Galgani;MED10-10;;
17/07/2010;42,7337;9,0328;46 825,15;26 640,25;13 651,17;;;;;;1;F.Galgani;MED10-11;;
21/07/2010;42,8743;8,2616;84 165,77;47 884,45;24 537,26;;;;;;1;F.Galgani;MED10-12;;
21/07/2010;42,8568;8,317;20 315,87;11 558,32;5 922,79;;;;;;1;F.Galgani;MED10-13;;
21/07/2010;42,7962;8,4162;102 593,36;58 368,46;29 909,54;;;;;;1;F.Galgani;MED10-14;;
21/07/2010;42,757;8,4698;16 036,52;9 123,66;4 675,21;;;;;;1;F.Galgani;MED10-15;;
21/07/2010;42,7252;8,5102;15 672,25;8 916,41;4 569,01;;;;;;1;F.Galgani;MED10-16;;
21/07/2010;42,6938;8,5717;15 091,79;8 586,18;4 399,78;;;;;;1;F.Galgani;MED10-17;;
21/07/2010;42,6544;8,6121;51 079,91;29 060,91;14 891,58;;;;;;1;F.Galgani;MED10-18;;
21/07/2010;42,6225;8,6588;102 740,28;58 452,05;29 952,38;;;;;;1;F.Galgani;MED10-19;;
21/07/2010;42,6043;8,7248;193 871,49;110 299,35;56 520,30;;;;;;1;F.Galgani;MED10-20;;
22/07/2010;42,8195;8,3553;16 340,00;9 296,32;4 763,68;;;;;;1;F.Galgani;MED10-21;;
26/07/2010;43,2464;8,0701;28 442,22;16 181,64;8 291,90;;;;;;2;F.Galgani;MED10-22;;
27/07/2010;43,5498;8,6342;57 998,75;32 997,24;16 908,66;;;;;;3;F.Galgani;MED10-23;;
27/07/2010;43,4473;8,3581;29 318,18;16 680,00;8 547,27;;;;;;4;F.Galgani;MED10-24;;
29/07/2010;43,0758;6,384;24 346,69;13 851,57;7 097,91;;;;;;3;F.Galgani;MED10-25;;
29/07/2010;43,0032;6,3696;247 853,67;141 011,45;72 257,99;;;;;;3;F.Galgani;MED10-26;;
30/07/2010;43,063;5,8787;0;0;0;;;;;;6;F.Galgani;MED10-27;;
31/07/2010;43,3181;5,1862;0;0;0;;;;;;4;F.Galgani;MED10-28;;
31/07/2010;43,3203;5,1988;0;0;0;;;;;;4;F.Galgani;MED10-29;;
31/07/2010;43,3241;5,1659;6 965,44;3 962,85;2 030,67;;;;;;5;F.Galgani;MED10-30;;
01/08/2010;43,3003;5,246;0;0;0;;;;;;4;F.Galgani;MED10-31;;
01/08/2010;43,2609;4,9354;6 450,00;3 669,60;1 880,40;;;;;;4;F.Galgani;MED10-32;;
01/08/2010;43,0098;4,3971;5 077,60;2 888,80;1 480,30;;;;;;5;F.Galgani;MED10-33;;
01/08/2010;42,8136;3,9276;6 046,12;3 439,82;1 762,65;;;;;;5;F.Galgani;MED10-34;;
02/08/2010;42,5295;3,1341;6 139,67;3 493,04;1 789,93;;;;;;5;F.Galgani;MED10-35;;
02/08/2010;42,4627;3,3037;10 883,01;6 191,68;3 172,78;;;;;;5;F.Galgani;MED10-36;;
02/08/2010;42,3302;3,4784;22 326,06;12 701,97;6 508,83;;;;;;5;F.Galgani;MED10-37;;
02/08/2010;42,2513;3,6462;68 493,52;38 968,03;19 968,25;;;;;;5;F.Galgani;MED10-38;;
07/08/2010;42,2428;8,5225;6 506,05;3 701,49;1 896,74;;;;;;4;F.Galgani;MED10-39;;
07/08/2010;42,3235;8,5842;20 425,00;11 620,40;5 954,60;;;;;;4;F.Galgani;MED10-40;;
07/08/2010;43,5743;7,393;27 412,50;15 595,80;7 991,70;;;;;;4;F.Galgani;MED10-41;40;
