Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
28/01/2010;32,32;-64,4322;6 826,00;37 944,54;4 818,35;;1,2;287,29;307,97;;2;M. Eriksen;NAG10-SM021;;
28/01/2010;32,079;-64,6316;0;52 359,45;3 272,47;;0;449,15;175,08;;2,5;M. Eriksen;NAG10-SM022;;
29/01/2010;31,5865;-62,7727;2 757,70;29 685,78;811,09;;0,45;209,89;50,94;;2,5;M. Eriksen;NAG10-SM023;;
29/01/2010;31,2001;-62,0368;0;14 085,83;2 134,22;;0;109,54;90,92;;2,5;M. Eriksen;NAG10-SM024;;
30/01/2010;30,8735;-61,3126;5 454,11;85 973,98;7 032,93;;1,18;505,72;701,43;;2,5;M. Eriksen;NAG10-SM025;;
31/01/2010;30,073;-58,7081;3 346,84;40 533,95;5 454,11;;0,47;187,16;193,5;;2;M. Eriksen;NAG10-SM026;;
31/01/2010;30,073;-58,7081;619,79;2 107,27;371,87;;0,74;25,54;14,5;;1,5;M. Eriksen;NAG10-SM027;;
01/02/2010;29,6835;-56,6993;434,88;4 566,23;543,6;;0,13;33,59;93,72;;3;M. Eriksen;NAG10-SM028;;
02/02/2010;29,5392;-54,9628;2 727,05;64 494,84;2 999,76;;0,88;288,8;103,36;;2;M. Eriksen;NAG10-SM029;;
02/02/2010;29,2797;-53,6117;31 002,30;36 799,48;1 638,33;;5,83;79,27;279,4;;1,5;M. Eriksen;NAG10-SM030;;
03/02/2010;28,907;-51,8931;2 680,58;27 452,85;1 756,24;;0,63;139,67;35,77;;1,5;M. Eriksen;NAG10-SM031;;
03/02/2010;28,7729;-51,0777;43 126,42;99 927,07;4 558,08;;9,47;341,92;134,99;;3;M. Eriksen;NAG10-SM032;;
03/02/2010;28,5522;-50,1026;1 431,70;26 997,84;1 636,23;;0,78;268,53;205,55;;3;M. Eriksen;NAG10-SM033;;
09/02/2010;35,6729;-35,0237;3 151,26;8 241,76;0;;0,44;56,72;0;;3;M. Eriksen;NAG10-SM034;;
09/02/2010;36,2937;-33,3888;1 163,54;19 198,46;3 781,52;;0,23;154,54;214,24;;2,5;M. Eriksen;NAG10-SM035;35;
