03/08/2010;33,1199;-158,1481;;;;1,37;;;;68,6;;H. Carson;ENPG 2010;;
03/08/2010;33,6833;-158,05;;;;6,97;;;;1 216,62;;H. Carson;ENPG 2010;;
03/08/2010;34,05;-157,9833;;;;1,26;;;;2 581,77;;H. Carson;ENPG 2010;;
04/08/2010;35,5667;-157,5833;;;;8,23;;;;1 333,22;;H. Carson;ENPG 2010;;
01/08/2010;35,4167;-157,4;;;;4,77;;;;381,87;;H. Carson;ENPG 2010;;
05/08/2010;34,4279;-155,8867;;;;3,13;;;;651,23;;H. Carson;ENPG 2010;;
05/08/2010;33,885;-155,53;;;;0;;;;0;;H. Carson;ENPG 2010;;
06/08/2010;33,2667;-154,5;;;;11,72;;;;5 747,89;;H. Carson;ENPG 2010;;
06/08/2010;33,3667;-154,25;;;;32,46;;;;13 037,53;;H. Carson;ENPG 2010;;
07/08/2010;32,3608;-152,7967;;;;15,57;;;;17 516,89;;H. Carson;ENPG 2010;;
08/08/2010;32,3193;-151,3663;;;;1;;;;80,03;;H. Carson;ENPG 2010;;
09/08/2010;33,8843;-148,678;;;;2,19;;;;151,35;;H. Carson;ENPG 2010;;
10/08/2010;34,9017;-147,2349;;;;0;;;;0;;H. Carson;ENPG 2010;;
11/08/2010;35,7317;-146,0215;;;;6,02;;;;6 123,69;;H. Carson;ENPG 2010;;
13/08/2010;35,593;-141,4937;;;;0;;;;0;;H. Carson;ENPG 2010;;
01/08/2010;35,1167;-153,1667;;;;6,96;;;;10 339,38;;H. Carson;ENPG 2010;;
04/08/2010;37,2667;-151,9;;;;10,93;;;;246,07;;H. Carson;ENPG 2010;;
05/08/2010;36,9833;-150,8167;;;;13,02;;;;900,48;;H. Carson;ENPG 2010;;
06/08/2010;36,9;-149,3;;;;33,46;;;;6 837,65;;H. Carson;ENPG 2010;;
08/08/2010;37,1667;-146,0833;;;;17,1;;;;4 295,55;;H. Carson;ENPG 2010;;
04/08/2010;34,23;-162,1567;;;;19,33;;;;1 546,89;;H. Carson;ENPG 2010;;
08/08/2010;40,1867;-162,3583;;;;48,93;;;;6 321,80;;H. Carson;ENPG 2010;;
07/08/2010;41,8767;-161,3617;;;;12,96;;;;4 365,36;;H. Carson;ENPG 2010;;
10/08/2010;44,1433;-158,7833;;;;0;;;;0;;H. Carson;ENPG 2010;;
27/07/2010;27,2333;-156,2833;;;;18,61;;;;27 660,01;;H. Carson;ENPG 2010;;
28/07/2010;29,05;-155,3667;;;;178,01;;;;51 093,23;;H. Carson;ENPG 2010;;
29/07/2010;30,8;-153,15;;;;44,53;;;;24 194,55;;H. Carson;ENPG 2010;;
30/07/2010;32,7;-151,0167;;;;117,76;;;;27 406,77;;H. Carson;ENPG 2010;;
02/08/2010;37,7667;-144,6333;;;;0;;;;0;;H. Carson;ENPG 2010;;
03/08/2010;38,2167;-142,4833;;;;11,3;;;;5 387,87;;H. Carson;ENPG 2010;;
