Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
19/08/2009;22,4217;-159,5167;;;;0,44;;;;26,42;;H. Carson;ENPG 2009;;
20/08/2009;24,6667;-159,4667;;;;0;;;;0;;H. Carson;ENPG 2009;;
21/08/2009;27,4852;-158,3032;;;;4,11;;;;315,54;;H. Carson;ENPG 2009;;
23/08/2009;32,346;-157,5991;;;;9,24;;;;4 870,07;;H. Carson;ENPG 2009;;
24/08/2009;33,9533;-155,8267;;;;20,71;;;;8 941,12;;H. Carson;ENPG 2009;;
25/08/2009;35,8667;-152,5333;;;;12,58;;;;9 651,00;;H. Carson;ENPG 2009;;
27/08/2009;37,0717;-148,6533;;;;13,01;;;;5 246,81;;H. Carson;ENPG 2009;;
28/08/2009;36,1333;-142,15;;;;587,33;;;;108 840,82;;H. Carson;ENPG 2009;;
29/08/2009;35,5483;-139,4417;;;;8,22;;;;4 800,05;;H. Carson;ENPG 2009;;
30/08/2009;34,8083;-136,82;;;;2,75;;;;549,35;;H. Carson;ENPG 2009;;
31/08/2009;34,5883;-133,7417;;;;0,89;;;;832,35;;H. Carson;ENPG 2009;;
01/09/2009;34,7433;-131,535;;;;0,5;;;;25,08;;H. Carson;ENPG 2009;;
02/09/2009;34,6683;-129,1617;;;;0,52;;;;1 058,45;;H. Carson;ENPG 2009;43;
