Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
13/08/2011;-42,9225;144,995;;;;0;;;;;4;J. Reisser;Southern Surveyor/ss2011_t03;;visual transects, 0.5-1 hour long, objects observed within 20m from the boat
14/08/2011;-40,2843;143,3303;;;;0;;;;;5;J. Reisser;Southern Surveyor/ss2011_t03;;visual transects, 0.5-1 hour long, objects observed within 20m from the boat
14/08/2011;-39,6825;143,0513;;;;4,76;;;;4 884,00;5;J. Reisser;Southern Surveyor/ss2011_t03;1 buoy, 1 hard plastic fragment;visual transects, 0.5-1 hour long, objects observed within 20m from the boat
16/08/2011;-36,1124;136,3708;;;;2,79;;;;27,9;6;J. Reisser;Southern Surveyor/ss2011_t03;1 hard plastic fragment;visual transects, 0.5-1 hour long, objects observed within 20m from the boat
18/08/2011;-35,2483;129,634;;;;0;;;;0;5;J. Reisser;Southern Surveyor/ss2011_t03;;visual transects, 0.5-1 hour long, objects observed within 20m from the boat
18/08/2011;-35,1658;128,7305;;;;2,62;;;;26,2;3;J. Reisser;Southern Surveyor/ss2011_t03;1 hard plastic fragment;visual transects, 0.5-1 hour long, objects observed within 20m from the boat
19/08/2011;-34,8472;124,575;;;;2,63;;;;26,3;5;J. Reisser;Southern Surveyor/ss2011_t03;1 hard plastic fragment;visual transects, 0.5-1 hour long, objects observed within 20m from the boat
20/08/2011;-34,8935;120,5352;;;;0;;;;0;5;J. Reisser;Southern Surveyor/ss2011_t03;;visual transects, 0.5-1 hour long, objects observed within 20m from the boat
20/08/2011;-35,0805;119,6786;;;;9,57;;;;95,7;2;J. Reisser;Southern Surveyor/ss2011_t03;4 hard plastic fragments;visual transects, 0.5-1 hour long, objects observed within 20m from the boat
21/08/2011;-35,4067;116,3392;;;;2,94;;;;29,4;6;J. Reisser;Southern Surveyor/ss2011_t03;1 hard plastic fragment;visual transects, 0.5-1 hour long, objects observed within 20m from the boat
