Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
09/01/2010;19,9432;-64,5649;58 102,96;21 259,89;2 226,17;;4,45;26,83;4,23;;2,5;M. Eriksen;NAG10-SM001;;
09/01/2010;20,2173;-64,3828;6 639,79;4 031,30;1 067,11;;1,04;28,69;40,79;;2;M. Eriksen;NAG10-SM002;;
09/01/2010;20,4521;-64,1968;15 246,71;12 147,79;991,66;;2,57;42,62;3 503,27;;2;M. Eriksen;NAG10-SM003;;
10/01/2010;21,1293;-63,8333;5 347,35;6 851,29;1 420,39;;1,15;12,86;4,26;;2;M. Eriksen;NAG10-SM004;;
10/01/2010;21,473;-63,5899;4 090,58;5 317,76;409,06;;0,48;29,63;4,36;;2;M. Eriksen;NAG10-SM005;;
10/01/2010;21,7367;-63,4227;44 914,59;46 144,76;33 133,71;;6,26;47,98;2 051,84;;2;M. Eriksen;NAG10-SM006;;
11/01/2010;22,15;-63,1474;17 324,82;4 519,52;502,17;;1,38;3,52;1,13;;2;M. Eriksen;NAG10-SM007;;
11/01/2010;22,8418;-62,7592;10 467,48;10 329,75;413,19;;1,24;33,9;15,84;;2;M. Eriksen;NAG10-SM008;;
12/01/2010;24,3576;-62,8129;7 434,53;9 436,14;190,63;;1,14;28,59;0,29;;4;M. Eriksen;NAG10-SM009;;
12/01/2010;24,3576;-62,8129;0;1 510,37;704,84;;0;8,96;13,59;;4;M. Eriksen;NAG10-SM010;;
13/01/2010;24,7657;-62,7221;377,59;1 636,23;377,59;;0,11;5,41;7,93;;4;M. Eriksen;NAG10-SM011;;
13/01/2010;25,3751;-62,4785;3 126,56;2 918,12;416,87;;0,46;3,99;0,42;;3;M. Eriksen;NAG10-SM012;;
13/01/2010;25,5607;-62,4387;428 395,48;132 757,97;119 370,62;;15,62;837,83;25 752,82;;2;M. Eriksen;NAG10-SM013;;
14/01/2010;26,0914;-61,7168;0;2 111,27;351,88;;0;4,52;8,45;;4,5;M. Eriksen;NAG10-SM014;;
15/01/2010;29,249;-62,9857;4 682,38;14 983,63;1 560,79;;0,61;86;105,82;;2,5;M. Eriksen;NAG10-SM015;;
15/01/2010;29,7453;-63,2167;3 020,74;35 544,01;3 725,58;;0,41;165,27;613,71;;2;M. Eriksen;NAG10-SM016;;
16/01/2010;30,5477;-63,7064;31 985,11;157 152,30;4 991,90;;8,1;778,18;599,95;;2;M. Eriksen;NAG10-SM017;;
17/01/2010;31,1813;-64,0147;1 173,82;10 137,53;1 814,08;;0,45;47,17;101,16;;2,5;M. Eriksen;NAG10-SM018;;
17/01/2010;31,535;-64,2677;9 953,75;31 224,77;2 590,70;;1,5;135,67;67,49;;2;M. Eriksen;NAG10-SM019;;
18/01/2010;31,9644;-64,5448;4 082,42;24 984,39;2 776,04;;0,65;154,97;1 465,26;;2;M. Eriksen;NAG10-SM020;;
