Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
14/06/2012;33,2582;151,1831;20 879,57;29 285,63;2 982,80;;3,71;63,21;16,27;;3;M. Eriksen;NPG12-SM022;;
15/06/2012;32,0859;153,1712;6 919,37;24 632,94;553,55;;1,69;70,16;11,43;;3;M. Eriksen;NPG12-SM023;;
16/06/2012;31,2728;155,3199;3 546,62;9 995,02;2 256,94;;0,87;32,27;291,4;;2;M. Eriksen;NPG12-SM024;;
17/06/2012;30,7313;157,7742;2 553,92;11 918,30;4 540,30;;0,85;70,52;176,5;;2;M. Eriksen;NPG12-SM025;;
18/06/2012;30,191;160,4028;8 654,04;24 725,84;0;;1,14;91,24;0;;2;M. Eriksen;NPG12-SM026;;
19/06/2012;30,4448;163,3177;1 832,98;6 022,66;261,85;;0,31;12,31;33,52;;3;M. Eriksen;NPG12-SM027;;
20/06/2012;30,4993;166,0763;9 357,02;15 311,50;1 417,73;;0,96;30,91;57,28;;2;M. Eriksen;NPG12-SM028;;
21/06/2012;30,077;168,133;24 616,74;23 406,08;807,11;;4,68;50,44;292,17;;3;M. Eriksen;NPG12-SM029;;
22/06/2012;29,1979;169,8263;3 547,73;11 234,48;591,29;;0,44;53,87;25,72;;2;M. Eriksen;NPG12-SM030;;
23/06/2012;29,4129;172,0143;6 335,44;11 966,93;1 759,84;;0,84;68,92;296,01;;2;M. Eriksen;NPG12-SM031;;
24/06/2012;28,4783;175,315;31 770,67;42 236,31;2 242,64;;6,39;99,5;595,42;;3;M. Eriksen;NPG12-SM032;;
