Date;Latitude;Longitude;cd1;cd2;cd3;cd4;wd1;wd2;wd3;wd4;SeaState;Source;Info;Comments;
29/08/2010;-23,729;-37,4867;2 142,69;3 116,63;0;;0,53;23,76;0;;3;M. Eriksen;SAG10-2;;
29/08/2010;-23,8868;-36,6933;1 080,87;6 330,82;154,41;;0,19;61,13;1,85;;3;M. Eriksen;SAG10-3;;
30/08/2010;-24,1104;-33,9573;17 251,58;21 520,02;1 244,96;;1,6;126,81;4,62;;2;M. Eriksen;SAG10-4;;
31/08/2010;-23,0308;-30,8532;8 264,64;16 028,40;0;;0,93;104,94;0;;3;M. Eriksen;SAG10-5;;
01/09/2010;-22,297;-29,2472;1 051,23;2 803,27;1 051,23;;0,7;22,43;89;;5;M. Eriksen;SAG10-6;;
02/09/2010;-20,8268;-28,2509;1 313,45;2 189,08;0;;0,04;10,95;0;;4;M. Eriksen;SAG10-7;;
02/09/2010;-19,7983;-27,3385;1 868,85;4 360,64;0;;0,31;18,94;0;;3;M. Eriksen;SAG10-8;;
03/09/2010;-18,615;-26,1638;194,67;584,01;0;;0,02;1,95;0;;3;M. Eriksen;SAG10-9;;
03/09/2010;-17,887;-25,086;1 816,80;0;0;;1,09;0;0;;3;M. Eriksen;SAG10-10;;
04/09/2010;-16,9837;-23,7325;1 968,85;3 281,42;0;;0,16;2,26;0;;4;M. Eriksen;SAG10-11;;
04/09/2010;-16,2435;-22,5333;1 006,30;503,15;335,43;;0,07;3,22;4,51;;4;M. Eriksen;SAG10-12;;
05/09/2010;-13,9923;-20,739;0;4 488,90;320,64;;0;20,2;43,61;;4;M. Eriksen;SAG10-13;;
